species,match_status,n_raw,n_clean,n_cell_unique,model_status,skip_reason,cv_strategy,maxent_engine
Thalasseus bengalensis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Thalasseus bergii,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Timalia pileata,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Todiramphus chloris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Tragopan caboti,matched,148,148,148,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Tragopan temminckii,matched,217,217,217,modeled,NA,spatial_kmeans_blocks,maxnet::maxnet
Treron curvirostra,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Treron seimundi,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Treron sieboldii,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Treron sphenurus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Tringa brevipes,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Tringa guttifer,matched,12,12,12,modeled,NA,random_repeated,maxnet::maxnet
Tringa stagnatilis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus boulboul,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus cardis,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus feae,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Turdus mandarinus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus migratorius,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus naumanni,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus pilaris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turdus rubrocanus,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Turdus ruficollis,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Turdus viscivorus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Turnix suscitator,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Tyto alba,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Tyto longimembris,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Urile pelagicus,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Urosphena squameiceps,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Vanellus cinereus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Vanellus indicus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Vanellus leucurus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Vanellus vanellus,matched,1,1,1,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Yuhina nigrimenta,matched,2,2,2,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Zapornia bicolor,matched,9,9,9,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Zoothera dixoni,matched,3,3,3,skipped,insufficient_occurrence_points,NA,maxnet::maxnet
Zoothera mollissima,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Zoothera monticola,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Zosterops erythropleurus,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
Zosterops meyeni,unmatched,NA,NA,NA,unmatched,taxonomy_unmatched,NA,maxnet::maxnet
